'File141';'Statement';'Attribute';'Attribute-link';'Deontic';'Aim';'Direct-Object';'Indirect-Object';'Activation-Condition-Content';'Execution-Constraint-Content';'Logical-combination';'Type';'file.outlinks'
'Reg-SOP-Finances';'044';'Financial Advisor';'Financial Advisor';'may';'disburse advances towards expenses (to)';'Zonal Officers, Heads of Departments, Officers-in-charge';'-';'when relief works are to be carried out';'-';'-';'2';'Financial Advisor Zonal Officer Deputy Commissioners Relief Centre'
'043.015';'043.015';'Junior Engineer CMWSSB';'Junior Engineer CMWSSB';'must';'eliminate contamination';'Water supply, Sewage';'-';'When informed';'-';'-';'2';'Junior Engineer CMWSSB Water supply Sewage 043.005'
'043.011';'043.011';'Zonal Health Officers';'Zonal Health Officer';'must';'take preventive measures for diarrheal diseases';'Respective Areas';'-';'When infections are reported';'-';'-';'1';'Zonal Health Officer 043.003'
'043.007';'043.007';'Veterinary Officers';'Veterinary Officers';'must';'Coordinate with () to arrange health camps';'Medical Officers | ???';'-';'-';'-';'-';'2';'Veterinary Officers'
'043.006';'043.006';'Sanitary Inspectors';'Sanitary Inspector';'must';'periodically conduct anti-larval activities';'Stormwater and Canals';'-';'-';'-';'-';'2';'Sanitary Inspector Waterways Stormwater Systems'
'043.005';'043.005';'(Missing)';'-';'must';'identify sources of water contamination and communicate';'CMWSSB Engineers';'-';'-';'-';'-';'1';'Junior Engineer CMWSSB'
'043.003';'043.003';'Communicable Diseases Hospital';'Communicable Diseases Hospital';'must';'report cases of diarrheal infections (to)';'Zonal Health Officers';'-';'-';'-';'-';'2';'Communicable Diseases Hospital Zonal Health Officer 043.011'
'043.002';'043.002';'Medical Officers';'Medical Officer';'must';'ensure stocks (...) are maintained';'of medicines and disinfectants';'Zonal Office';'-';'-';'-';'1';'Medical Officer medicine Zonal Office'
'Reg-SOP-Health';'043';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'deploy staff to each relied centre to ensure Health and Hygiene';'Medical Officer, Paramedical Staff, Sanitatry Inspector';'-';'-';'043.001';'-';'1';'Greater Chennai Corporation 043.001'
'042.004';'042.004';'(Missing)';'-';'must';'arrange joint inspections';'-';'-';'-';'-';'-';'2';''
'042.003';'042.003';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'procure fuel for use (by)';'NDRF';'-';'-';'-';'-';'2';'Greater Chennai Corporation'
'042.001';'042.001';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'create list of vulnerable location and deployment positions (for)';'NDRF';'-';'-';'-';'-';'1';'Greater Chennai Corporation'
'Reg-SOP-NDRF';'042';'NDRF and SDRG';'NDRF SDRF';'must';'deploy for relief and evacuation support';'chosen locations';'-';'-';'-';'042.001 AND 042.003 AND 042.004';'2';'NDRF SDRF 042.001 042.001 042.003 042.004'
'041.006';'041.006';'(Mortuaries / Crematoriums / Graveyards)';'-';'must';'be kept functional';'-';'-';'-';'-';'-';'2';''
